昵称,学历,城市,经验,薪资,备注
pop*,本,北京,1年,11k,
？？,专,郑州,3.5年,10k,
snows*,本,杭州,1年,10k,
Fr*,本,苏州,1.5年,10k,
拍*,专,温州,2.5年,10k,专升本
肥嘟*,专,东莞,1.5年,10k,专升本
罗非*,专,宁波,3年,10k,专升本
咸*,本,台州,5年,10k,
段*,专,上海,3年,10k,
辞海*,本,武汉,3.5年,10.5k,
小鹿*,硕,-,-,-,"SSP1 得物 34k * 16 杭州  部门随便选
SSP2 深圳 ??  38K*15  传统行业  AI"
莱茵*,硕,26应届,-,-,
逆*,本,焦虑型人格,,18k*15,26应届 腾讯实习 打游戏被劝退
CSS*,本,,26应届,,选offer
Kev*,本,,26应届,,选offer
jie,本,深圳,27应届,,字节实习
烟梦*,本,,26应届,,
ha*,硕,,27应届,,gis
,,,,,
思念*,本科,北京,26应届,,大厂实习
Fr*,初中,杭州,0,,成人大专，20岁，线下机构培训
北宇*,本,焦虑型人格,27应届,,腾讯实习
卧看*,本,,26应届,,实习
T*,专,广东/中山,25应届,,无工作
默*,硕士,北京,27应届,,
v我*,本,哈尔滨,0年,,
冲*,本,常州,17年,,
ste*,专,武汉,26应届,13k*16,腾讯云智  腾讯电脑管家  C端
$*,招人,,,,
我*,专,深圳,大一,,
ro*,本,,大三,,
雪球*,本,29应届,,,
北宇*,本,-,27应届,,字节实习
逆*,本,,26应届,,小红书实习
腻*,本,重庆,26应届,,小厂实习
不羡*,专,武汉,26应届,,专升本
Map*,本,北京,26应届,,
牧*,本,26应届,,,
所以*,本,26应届,,,
kaiv*,本,27应届,,,
一步*,本,北京,26应届,,
小香*,专,深圳,26应届,,专升本
珊*,本,27应届,,,快手实习
用户3*,本,25应届,,,
YI*,本,深圳,4年,17k,
moo*,专,绵阳,11年,11k,全栈
用户1*,初中,北京,9年,26k,
三页*,硕,27应届,,,
派大*,专,深圳,5年,15k,大厂外包  鸿蒙
无悔*,本,北京,4年,34k,游戏公司，流量平台
一多*,本,深圳,3.5年,34k,抖音，web3交易所
绿帽*,本,北京,13年,23k,外包
暖月*,本,深圳,11年,200w/年,
wo默*,高中,兰州,7年,9k,
随心*,本,深圳,4年,15k,华为od
水木*,本,深圳,4年,18k,
6.2*,专,北京,3年,14k,
