昵称,学历,城市,经验(年),薪资(k),毕业年份,备注
传闻*,大专,北京,6.0,18.0,,
sany*,大专,合肥,3.0,13.0,,
Spr*,大专,成都,6.0,15.0,,
Nor*,本科,广州,0.0,18.0,2026,
,本科,成都,8.0,15.0,,
人*,本科,广州,3.0,7.0,,
逸*,硕士,成都,2.0,12.0,,
超*,本科,杭州,5.0,14.0,,gap半年
ward*,本科,深圳,1.0,13.0,,
喊左*,本科,武汉,2.0,8.0,,被裁
spe*,本科,,0.0,,2028,
我要*,硕士,武汉,3.0,16.0,,制造业
疯不*,本科,武汉,1.0,15.0,,
随心*,大专,北京,2.0,10.0,,被裁
陶淮*,大专,重庆,1.0,8.0,,
只是*,大专,深圳,2.0,11.0,,
闪游*,大专,保定,10.0,10.0,,gap4月
Alan*,本科,杭州,0.0,30.0,,AI全栈
哒哒*,大专,广州,2.0,6.0,,全栈
Edg*,本科,天津,2.0,8.0,,
关*,本科,,0.0,,2027,
土黑*,本科,成都,4.0,14.0,,
与冬*,大专,广州,0.0,,2027,
海人*,大专,西安,4.0,11.0,,离职8个月
AAA*,大专,北京,2.5,11.0,,
婷婷*,本科,成都,0.0,6.0,2026,
肥嘟*,本科,东莞,2.0,12.5,,
淡淡*,本科,长沙,3.0,12.0,,
_静*,高中,大连,0.0,,,
依然*,本科,,0.0,,2027,上海实习
玄*,大专,,0.0,,2027,
海人*,大专,西安,3.0,11.0,,
枸杞*,大专,苏州,5.0,14.0,,
Aar*,本科,北京,3.0,14.0,,
Xy*,本科,杭州,1.0,10.0,,
mOn*,本科,广州,9.0,20.0,,
山青*,大专,,,,2026,
我爱*,硕士,南京,4.0,20.0,,
给我*,大专,北京,7.0,16.0,,
毛驴*,本科,深圳,9.0,18.0,,运维->前端
Huu*,大专,深圳,3.0,10.0,,gap 2年
one*,本科,杭州,0.0,,2027,
天宇*,高中,成都,5.0,15.0,,前端
🌈*,大专,厦门,1.0,3.5,,前端
往事*,本科,北京,3.0,15.0,,前端
爱吃*,本科,天津,0.0,6.5,2026,前端
张个*,本科,西安,5.0,12.0,,前端
西柚*,本科,杭州,4.0,9.0,,前端
管先*,大专,重庆,7.5,17.5,,前端，离职
salu*,硕士,深圳,0.0,24.0,2026,"webgl,3d打印"
ward*,本科,深圳,1.0,13.0,,前端
快*,本科,北京,10.0,40.8,,Agents开发，半导体
lh*,初中,上海,8.0,18.0,,前端
微斯*,本科,北京,3.5,17.0,,
海盐*,大专,北京,6.5,18.0,,前端
wah*,大专,上海,7.0,20.0,,前端
渔*,本科,武汉,2.0,6.0,,前端
